id,x,y,theta
R001,0.000,-12.000,3.142
R002,-0.800,-12.000,3.142
R003,-1.600,-12.000,3.142
R004,-2.400,-12.000,3.142
R005,-3.200,-12.000,3.142
R006,-4.000,-12.000,3.142
R007,-4.800,-12.000,3.142
R008,-5.600,-12.000,3.142
R009,-6.400,-12.000,3.142
R010,-7.200,-12.000,3.142
R011,-8.000,-12.000,3.142
R012,-8.800,-12.000,3.142
R013,-9.600,-12.000,3.142
R014,-10.400,-12.000,3.142
R015,-11.200,-12.000,3.142
R016,-12.000,-12.000,1.571
R017,-12.000,-11.200,1.571
R018,-12.000,-10.400,1.571
R019,-12.000,-9.600,1.571
R020,-12.000,-8.800,1.571
R021,-12.000,-8.000,1.571
R022,-12.000,-7.200,1.571
R023,-12.000,-6.400,1.571
R024,-12.000,-5.600,1.571
R025,-12.000,-4.800,1.571
R026,-12.000,-4.000,1.571
R027,-12.000,-3.200,1.571
R028,-12.000,-2.400,1.571
R029,-12.000,-1.600,1.571
R030,-12.000,-0.800,1.571
R031,-12.000,0.000,1.571
R032,-12.000,0.800,1.571
R033,-12.000,1.600,1.571
R034,-12.000,2.400,1.571
R035,-12.000,3.200,1.571
R036,-12.000,4.000,1.571
R037,-12.000,4.800,1.571
R038,-12.000,5.600,1.571
R039,-12.000,6.400,1.571
R040,-12.000,7.200,1.571
R041,-12.000,8.000,1.571
R042,-12.000,8.800,1.571
R043,-12.000,9.600,1.571
R044,-12.000,10.400,1.571
R045,-12.000,11.200,1.571
R046,-12.000,12.000,0.000
R047,-11.200,12.000,0.000
R048,-10.400,12.000,0.000
R049,-9.600,12.000,0.000
R050,-8.800,12.000,0.000
R051,-8.000,12.000,0.000
R052,-7.200,12.000,0.000
R053,-6.400,12.000,0.000
R054,-5.600,12.000,0.000
R055,-4.800,12.000,0.000
R056,-4.000,12.000,0.000
R057,-3.200,12.000,0.000
R058,-2.400,12.000,0.000
R059,-1.600,12.000,0.000
R060,-0.800,12.000,0.000
R061,0.000,12.000,-0.062
R062,0.800,11.950,0.000
R063,1.600,11.950,-0.785
R064,2.200,11.350,-0.381
R065,2.950,11.050,0.000
R066,3.750,11.050,0.000
R067,4.550,11.050,-0.185
R068,5.350,10.900,-1.052
R069,5.750,10.200,-1.571
R070,5.750,9.400,-1.571
R071,5.750,8.600,-1.268
R072,6.000,7.800,-1.571
R073,6.000,7.000,-1.571
R074,6.000,6.200,-1.571
R075,6.000,5.400,-1.571
R076,6.000,4.600,-1.571
R077,6.000,3.800,-1.571
R078,6.000,3.000,1.385
R079,6.150,3.800,1.446
R080,6.250,4.600,0.785
R081,6.850,5.200,0.829
R082,7.400,5.800,1.571
R083,7.400,6.600,1.571
R084,7.400,7.400,1.571
R085,7.400,8.200,1.571
R086,7.400,9.000,1.571
R087,7.400,9.800,1.571
R088,7.400,10.600,0.571
R089,8.100,11.050,0.000
R090,8.900,11.050,0.000
R091,9.700,11.050,-0.062
R092,10.500,11.000,-0.656
R093,11.150,10.500,-0.571
R094,11.850,10.050,-1.385
R095,12.000,9.250,-1.571
R096,12.000,8.450,-1.571
R097,12.000,7.650,-1.571
R098,12.000,6.850,-1.571
R099,12.000,6.050,-1.571
R100,12.000,5.250,-1.571
R101,12.000,4.450,-1.571
R102,12.000,3.650,-1.571
R103,12.000,2.850,-1.571
R104,12.000,2.050,-1.571
R105,12.000,1.250,-1.571
R106,12.000,0.450,-1.571
R107,12.000,-0.350,-1.571
R108,12.000,-1.150,-1.571
R109,12.000,-1.950,-1.571
R110,12.000,-2.750,-1.571
R111,12.000,-3.550,-1.571
R112,12.000,-4.350,-1.571
R113,12.000,-5.150,-1.571
R114,12.000,-5.950,-1.571
R115,12.000,-6.750,-1.571
R116,12.000,-7.550,-1.571
R117,12.000,-8.350,-1.571
R118,12.000,-9.150,-1.571
R119,12.000,-9.950,-1.571
R120,12.000,-10.750,-1.571
R121,12.000,-11.550,-2.570
R122,11.300,-12.000,3.142
R123,10.500,-12.000,3.142
R124,9.700,-12.000,3.142
R125,8.900,-12.000,3.142
R126,8.100,-12.000,3.142
R127,7.300,-12.000,3.142
R128,6.500,-12.000,3.142
R129,5.700,-12.000,3.142
R130,4.900,-12.000,3.142
R131,4.100,-12.000,3.142
R132,3.300,-12.000,3.142
R133,2.500,-12.000,3.142
R134,1.700,-12.000,3.142
R135,0.900,-12.000,3.142
R136,0.100,-12.000,3.142
R137,0.000,-12.000,3.142
