dataset,method,reference,ate_mean_m,ate_rmse_m,ate_final_m,ate_max_m,heading_rmse_deg,rpe_rmse_m,n_samples,notes
corredor (real),raw odometry,slam_toolbox,0.9856619746736538,1.0475413412957535,1.3251717481760616,1.7102817277165183,4.152964523802208,0.053418206558958514,7129,baseline
corredor (real),EKF v1 (original),slam_toolbox,0.1793418526394342,0.2197351616465634,0.0970876908778863,0.5370874055356349,3.447803056965648,0.05281838817545469,7129,original
corredor (real),EKF v2 (Thrun+Maha+adaptR),slam_toolbox,0.1934307061531703,0.22864619918311377,0.0896657315700932,0.581384642216321,3.3511394532380523,0.0538024143311636,7129,"NIS mean=1.98, 4.6% above gate"
sim circle medium,raw odometry,synthetic GT,0.09247370168996683,0.09247370168996683,,,,,10,std=0.048
sim circle medium,EKF (this work),synthetic GT,0.06148336904872528,0.06148336904872528,,,1.253452209949964,,10,"std=0.014, improv=1.5x"
sim loop high,raw odometry,synthetic GT,1.3420444378400187,1.3420444378400187,,,,,10,std=0.476
sim loop high,EKF (this work),synthetic GT,0.09061797756790632,0.09061797756790632,,,1.8758035221194778,,10,"std=0.005, improv=14.8x"
sim loop low,raw odometry,synthetic GT,0.22142121262792927,0.22142121262792927,,,,,10,std=0.103
sim loop low,EKF (this work),synthetic GT,0.07219298791602743,0.07219298791602743,,,1.0687735439264245,,10,"std=0.012, improv=3.1x"
sim loop medium,raw odometry,synthetic GT,0.5148100909838675,0.5148100909838675,,,,,5,std=0.228
sim loop medium,EKF (this work),synthetic GT,0.44733941833869845,0.44733941833869845,,,2.8322872768293306,,5,"std=0.284, improv=1.2x"
sim lshape medium,raw odometry,synthetic GT,0.06967667977674673,0.06967667977674673,,,,,10,std=0.036
sim lshape medium,EKF (this work),synthetic GT,0.12049113652851359,0.12049113652851359,,,0.8964093625833541,,10,"std=0.023, improv=0.6x"
